number,rank,code,title,open_date,sales,sales_acc,audience,audience_acc,screen,show,date
7,7,20178449,쓰리 빌보드,2018-03-15,92590200,346551100,10854,41074,103,277,2018-03-18
8,8,20173436,셰이프 오브 워터: 사랑의 모양,2018-02-22,72158800,3966631e3,8133,476151,193,316,2018-03-18
9,9,20170561,블랙 팬서,2018-02-14,55781100,45710658657,6683,5376536,142,217,2018-03-18
10,10,20150969,궁합,2018-02-28,48200200,10393486138,6003,1327473,296,463,2018-03-18
1,1,20170669,지금 만나러 갑니다,2018-03-14,752745300,8000109448,99896,980818,1087,4718,2018-03-19
2,2,20178781,사라진 밤,2018-03-07,206959800,9282175037,27408,1136568,684,2976,2018-03-19
3,3,20170841,리틀 포레스트,2018-02-28,112879100,10863559322,15005,1368603,546,1789,2018-03-19
4,4,20180302,허리케인 하이스트,2018-03-14,105249600,1413501148,14096,173237,486,1685,2018-03-19
5,5,20172244,치즈인더트랩,2018-03-14,70180800,1414174100,8953,170747,295,1203,2018-03-19
6,6,20180564,툼레이더,2018-03-08,60368400,4376934062,7919,523964,462,1129,2018-03-19
7,7,20178449,쓰리 빌보드,2018-03-15,36936700,383487800,4926,46e3,95,292,2018-03-19
8,8,20173436,셰이프 오브 워터: 사랑의 모양,2018-02-22,26293600,3992924600,3389,479540,180,313,2018-03-19
9,9,20150969,궁합,2018-02-28,22548200,10416034338,3291,1330764,280,454,2018-03-19
10,10,20170561,블랙 팬서,2018-02-14,16951400,45727610057,2223,5378759,134,209,2018-03-19
1,1,20170669,지금 만나러 갑니다,2018-03-14,709021900,8709131348,94239,1075057,1092,4697,2018-03-20
2,2,20178781,사라진 밤,2018-03-07,180601900,9462776937,23879,1160447,678,2898,2018-03-20
3,3,20170841,리틀 포레스트,2018-02-28,107330500,10970889822,14371,1382974,529,1768,2018-03-20
4,4,20180302,허리케인 하이스트,2018-03-14,87502400,1501003548,11652,184889,477,1624,2018-03-20
5,5,20172244,치즈인더트랩,2018-03-14,61238200,1475412300,7881,178628,290,1143,2018-03-20
6,6,20180564,툼레이더,2018-03-08,48337900,4425271962,6429,530393,446,1071,2018-03-20
7,7,20178449,쓰리 빌보드,2018-03-15,37637100,421124900,4993,50993,97,294,2018-03-20
8,8,20173436,셰이프 오브 워터: 사랑의 모양,2018-02-22,26183300,4019107900,3484,483024,179,306,2018-03-20
9,9,20178522,콜 미 바이 유어 네임,2018-03-22,18304500,55233e3,2955,6958,22,22,2018-03-20
10,10,20150969,궁합,2018-02-28,17647800,10433682138,2561,1333325,273,419,2018-03-20
1,1,20174603,퍼시픽 림: 업라이징,2018-03-21,924428500,926428500,114863,115063,1106,5472,2018-03-21
2,2,20170669,지금 만나러 갑니다,2018-03-14,666855400,9375986748,88214,1163271,1003,3810,2018-03-21
3,3,20178781,사라진 밤,2018-03-07,144591200,9607368137,19194,1179641,591,1987,2018-03-21
4,4,20170841,리틀 포레스트,2018-02-28,93969300,11064859122,12838,1395812,515,1239,2018-03-21
5,5,20180302,허리케인 하이스트,2018-03-14,41993500,1542997048,5750,190639,360,825,2018-03-21
6,6,20172244,치즈인더트랩,2018-03-14,42193500,1517605800,5420,184048,238,786,2018-03-21
7,7,20178449,쓰리 빌보드,2018-03-15,28522800,449647700,3752,54745,93,217,2018-03-21
8,8,19900335,사랑과 영혼,1990-11-24,26672e3,62541200,2972,14099,12,12,2018-03-21
9,9,20178522,콜 미 바이 유어 네임,2018-03-22,21605600,76838600,2402,9360,18,18,2018-03-21
10,10,20173436,셰이프 오브 워터: 사랑의 모양,2018-02-22,16927200,4036035100,2203,485227,131,204,2018-03-21
1,1,20174603,퍼시픽 림: 업라이징,2018-03-21,704720600,1631149100,87997,203060,1064,5696,2018-03-22
2,2,20170669,지금 만나러 갑니다,2018-03-14,626521300,10002508048,83417,1246688,962,4001,2018-03-22
3,3,20178781,사라진 밤,2018-03-07,119010600,9726378737,15735,1195376,523,1732,2018-03-22
4,4,20178522,콜 미 바이 유어 네임,2018-03-22,92179400,169018e3,11781,21141,176,662,2018-03-22
5,5,20170841,리틀 포레스트,2018-02-28,76009e3,11140868122,10268,1406080,432,944,2018-03-22
6,6,20172244,치즈인더트랩,2018-03-14,37033100,1554638900,4714,188762,204,663,2018-03-22
7,7,20173962,소공녀,2018-03-22,33201800,43446300,4421,5794,259,619,2018-03-22
8,8,20180302,허리케인 하이스트,2018-03-14,26419100,1569416148,3534,194173,291,606,2018-03-22
9,9,20178449,쓰리 빌보드,2018-03-15,23991700,473639400,3111,57856,80,165,2018-03-22
10,10,20180804,곤지암,2018-03-28,1436e4,109851e3,1806,13149,9,9,2018-03-22
1,1,20174603,퍼시픽 림: 업라이징,2018-03-21,1043333065,2674482165,119455,322515,1092,5864,2018-03-23
2,2,20170669,지금 만나러 갑니다,2018-03-14,949853135,10952361183,114380,1361068,1036,4317,2018-03-23
3,3,20178781,사라진 밤,2018-03-07,166519389,9892898126,20242,1215618,536,1755,2018-03-23
4,4,20178522,콜 미 바이 유어 네임,2018-03-22,112503500,281521500,12926,34067,182,682,2018-03-23
5,5,20170841,리틀 포레스트,2018-02-28,106478776,11247346898,12799,1418879,460,990,2018-03-23
6,6,20172244,치즈인더트랩,2018-03-14,53592e3,1608230900,6216,194978,221,641,2018-03-23
7,7,20173962,소공녀,2018-03-22,37479600,80925900,4489,10283,255,601,2018-03-23
8,8,20178449,쓰리 빌보드,2018-03-15,34164900,507804300,3989,61845,89,178,2018-03-23
9,9,20180302,허리케인 하이스트,2018-03-14,29605300,1599021448,3676,197849,287,620,2018-03-23
10,10,20154908,7년의 밤,2018-03-28,24068500,38828500,2662,4302,15,15,2018-03-23
1,1,20174603,퍼시픽 림: 업라이징,2018-03-21,2561882277,5236364442,296735,619250,1145,6110,2018-03-24
2,2,20170669,지금 만나러 갑니다,2018-03-14,2059153723,13011514906,247069,1608137,1191,5061,2018-03-24
3,3,20178781,사라진 밤,2018-03-07,325863890,10218762016,39530,1255148,540,1638,2018-03-24
4,4,20170841,리틀 포레스트,2018-02-28,211182487,11458529385,25371,1444250,466,954,2018-03-24
5,5,20180804,곤지암,2018-03-28,186732500,307019500,24301,38888,152,274,2018-03-24
6,6,20181366,미니특공대X,2018-03-22,174112600,212776500,23302,28350,448,692,2018-03-24
7,7,20178522,콜 미 바이 유어 네임,2018-03-22,154122800,435644300,17418,51485,192,684,2018-03-24
8,8,20172244,치즈인더트랩,2018-03-14,118860700,1727091600,13971,208949,237,569,2018-03-24
9,9,20178449,쓰리 빌보드,2018-03-15,71392300,579196600,8180,70025,85,183,2018-03-24
10,10,20173962,소공녀,2018-03-22,54635100,135561e3,6328,16611,262,549,2018-03-24
1,1,20174603,퍼시픽 림: 업라이징,2018-03-21,2041559700,7277924142,239156,858406,1125,5925,2018-03-25
2,2,20170669,지금 만나러 갑니다,2018-03-14,1802271850,14813786756,215646,1823783,1164,4968,2018-03-25
3,3,20178781,사라진 밤,2018-03-07,272489300,10491251316,32858,1288006,543,1547,2018-03-25
4,4,20180804,곤지암,2018-03-28,224427800,531447300,29041,67929,153,274,2018-03-25
5,5,20181366,미니특공대X,2018-03-22,193214700,405991200,25489,53839,458,749,2018-03-25
6,6,20170841,리틀 포레스트,2018-02-28,181230800,11639760185,22029,1466279,458,929,2018-03-25
7,7,20178522,콜 미 바이 유어 네임,2018-03-22,139591900,575236200,15777,67262,185,638,2018-03-25
8,8,20172244,치즈인더트랩,2018-03-14,100641300,1827732900,11638,220587,233,536,2018-03-25
9,9,20178449,쓰리 빌보드,2018-03-15,55541300,634737900,6415,76440,87,181,2018-03-25
10,10,20173962,소공녀,2018-03-22,49941300,185502300,5934,22545,255,512,2018-03-25
1,1,20170669,지금 만나러 갑니다,2018-03-14,485880300,15299667056,64730,1888513,1047,4527,2018-03-26
2,2,20174603,퍼시픽 림: 업라이징,2018-03-21,378428900,7656353042,48325,906731,1028,5234,2018-03-26
3,3,20178781,사라진 밤,2018-03-07,84419200,10575670516,11187,1299193,504,1545,2018-03-26
4,4,20178522,콜 미 바이 유어 네임,2018-03-22,68993900,644230100,8782,76044,169,648,2018-03-26
5,5,20170841,리틀 포레스트,2018-02-28,57450800,11697210985,7874,1474153,448,974,2018-03-26
6,6,20173962,소공녀,2018-03-22,30866300,216368600,4129,26674,284,578,2018-03-26
7,7,20172244,치즈인더트랩,2018-03-14,21972900,1849705800,2843,223430,197,481,2018-03-26
8,8,20178449,쓰리 빌보드,2018-03-15,18836500,653574400,2489,78929,85,187,2018-03-26
9,9,20154908,7년의 밤,2018-03-28,18204e3,57032500,1980,6282,10,11,2018-03-26
10,10,20180302,허리케인 하이스트,2018-03-14,13639600,1705167948,1956,211181,255,475,2018-03-26
1,1,20170669,지금 만나러 갑니다,2018-03-14,471103400,15770770456,63258,1951771,1072,4533,2018-03-27
2,2,20174603,퍼시픽 림: 업라이징,2018-03-21,315716800,7972069842,39970,946701,1038,5051,2018-03-27
3,3,20178781,사라진 밤,2018-03-07,78631500,10654302016,10577,1309770,509,1515,2018-03-27
4,4,20178522,콜 미 바이 유어 네임,2018-03-22,69403900,713634e3,8790,84834,175,652,2018-03-27
5,5,20170841,리틀 포레스트,2018-02-28,61363300,11758574285,8590,1482743,458,1e3,2018-03-27
6,6,20173962,소공녀,2018-03-22,29882900,246251500,3968,30642,283,578,2018-03-27
7,7,20153447,바람 바람 바람,2018-04-05,28079e3,37609e3,3446,4506,12,12,2018-03-27
8,8,20172244,치즈인더트랩,2018-03-14,20561900,1870267700,2690,226120,208,469,2018-03-27
9,9,20178449,쓰리 빌보드,2018-03-15,1843e4,672004400,2498,81427,88,189,2018-03-27
10,10,20181561,덕구,2018-04-05,19194e3,4505e4,2343,6285,8,10,2018-03-27
1,1,20180804,곤지암,2018-03-28,1256720400,1789245700,198366,266449,808,3501,2018-03-28
2,2,20171122,레디 플레이어 원,2018-03-28,1005005e3,105419e4,149784,153331,985,4057,2018-03-28
3,3,20154908,7년의 밤,2018-03-28,737252400,813271200,124690,132601,872,3361,2018-03-28
4,4,20170669,지금 만나러 갑니다,2018-03-14,436023800,16206794256,76162,2027933,702,2407,2018-03-28
5,5,20174603,퍼시픽 림: 업라이징,2018-03-21,138668400,8110738242,23378,970079,550,1672,2018-03-28
6,6,20178522,콜 미 바이 유어 네임,2018-03-22,51913800,765547800,8269,93103,155,384,2018-03-28
7,7,20181621,막달라 마리아: 부활의 증인,2018-03-28,20066e3,20696e3,3214,3304,99,218,2018-03-28
8,8,19720061,정무문,1973-07-27,26872e3,55326e3,3e3,9528,11,11,2018-03-28
9,9,20170841,리틀 포레스트,2018-02-28,16493e3,11775067285,2808,1485551,127,171,2018-03-28
10,10,20173962,소공녀,2018-03-22,15173800,261425300,2598,33240,115,153,2018-03-28
1,1,20180804,곤지암,2018-03-28,912163400,2701409100,117948,384397,849,3714,2018-03-29
2,2,20171122,레디 플레이어 원,2018-03-28,781518400,1835708400,91641,244972,965,4059,2018-03-29
3,3,20154908,7년의 밤,2018-03-28,395519700,1208790900,52833,185434,836,3275,2018-03-29
4,4,20170669,지금 만나러 갑니다,2018-03-14,296742400,16503536656,40017,2067950,677,2421,2018-03-29
5,5,20174603,퍼시픽 림: 업라이징,2018-03-21,89778400,8200516642,11903,981982,521,1551,2018-03-29
6,6,20178522,콜 미 바이 유어 네임,2018-03-22,47934900,813482700,6197,99300,160,382,2018-03-29
7,7,20181621,막달라 마리아: 부활의 증인,2018-03-28,17189e3,37885e3,2555,5859,101,210,2018-03-29
8,8,20170841,리틀 포레스트,2018-02-28,13376800,11788444085,1960,1487511,114,153,2018-03-29
9,9,20181561,덕구,2018-04-05,12152e3,57202e3,1472,7757,5,5,2018-03-29
10,10,20173962,소공녀,2018-03-22,10832400,272257700,1411,34651,88,150,2018-03-29
1,1,20180804,곤지암,2018-03-28,1545170863,4246579963,185811,570208,954,4237,2018-03-30
2,2,20171122,레디 플레이어 원,2018-03-28,1245425012,3081133412,134675,379647,980,4188,2018-03-30
3,3,20154908,7년의 밤,2018-03-28,472258963,1681049863,57164,242598,812,3231,2018-03-30
4,4,20170669,지금 만나러 갑니다,2018-03-14,442375225,16945911881,54151,2122101,708,2571,2018-03-30
5,5,20174603,퍼시픽 림: 업라이징,2018-03-21,120371275,8320887917,14592,996574,502,1401,2018-03-30
6,6,20178522,콜 미 바이 유어 네임,2018-03-22,62991200,876473900,7272,106572,161,381,2018-03-30
7,7,20170841,리틀 포레스트,2018-02-28,17562900,11806006985,2407,1489918,124,167,2018-03-30
8,8,20181621,막달라 마리아: 부활의 증인,2018-03-28,15544e3,53429e3,2117,7976,99,206,2018-03-30
9,9,20173962,소공녀,2018-03-22,14249400,286507100,1723,36374,88,161,2018-03-30
10,10,20178449,쓰리 빌보드,2018-03-15,11462200,700900100,1338,85357,60,93,2018-03-30
1,1,20180804,곤지암,2018-03-28,3452656511,7699236474,423348,993556,1075,5360,2018-03-31
2,2,20171122,레디 플레이어 원,2018-03-28,2917313417,5998446829,323889,703536,1079,4594,2018-03-31
3,3,20170669,지금 만나러 갑니다,2018-03-14,896251122,17842163003,108358,2230459,736,2682,2018-03-31
4,4,20154908,7년의 밤,2018-03-28,798420161,2479470024,95493,338091,725,2803,2018-03-31
5,5,20174603,퍼시픽 림: 업라이징,2018-03-21,247275178,8568163095,30357,1026931,486,1148,2018-03-31
6,6,20181366,미니특공대X,2018-03-22,93129700,532689200,12378,71114,347,542,2018-03-31
7,7,20178522,콜 미 바이 유어 네임,2018-03-22,86415500,962889400,9958,116530,156,346,2018-03-31
8,8,20181621,막달라 마리아: 부활의 증인,2018-03-28,28554500,81983500,3829,11805,110,215,2018-03-31
9,9,20170841,리틀 포레스트,2018-02-28,28178300,11834185285,3561,1493479,92,129,2018-03-31
10,10,20173962,소공녀,2018-03-22,26769100,313276200,3137,39511,82,153,2018-03-31
1,1,20180804,곤지암,2018-03-28,3047801300,10747037774,373855,1367411,1124,5433,2018-04-01
2,2,20171122,레디 플레이어 원,2018-03-28,2538265250,8536712079,283183,986719,1058,4460,2018-04-01
3,3,20170669,지금 만나러 갑니다,2018-03-14,749577e3,18591740003,90815,2321274,736,2588,2018-04-01
4,4,20154908,7년의 밤,2018-03-28,669215700,3148685724,80035,418126,705,2580,2018-04-01
5,5,20174603,퍼시픽 림: 업라이징,2018-03-21,205295800,8773458895,25460,1052391,489,1092,2018-04-01
6,6,20181366,미니특공대X,2018-03-22,91198500,623887700,12122,83236,347,537,2018-04-01
7,7,20178522,콜 미 바이 유어 네임,2018-03-22,74657400,1037546800,8661,125191,164,345,2018-04-01
8,8,20181621,막달라 마리아: 부활의 증인,2018-03-28,31589800,113573300,4145,15950,111,199,2018-04-01
9,9,20173962,소공녀,2018-03-22,24119200,337395400,2835,42346,81,149,2018-04-01
10,10,20170841,리틀 포레스트,2018-02-28,21765300,11855950585,2747,1496226,88,126,2018-04-01
1,1,20180804,곤지암,2018-03-28,844662e3,11591699774,109505,1476916,927,4797,2018-04-02
2,2,20171122,레디 플레이어 원,2018-03-28,629486200,9166198279,74329,1061048,959,4147,2018-04-02
3,3,20170669,지금 만나러 갑니다,2018-03-14,210665700,18802405703,28444,2349718,655,2446,2018-04-02
4,4,20154908,7년의 밤,2018-03-28,181766900,3330452624,24482,442608,608,2374,2018-04-02
5,5,20174603,퍼시픽 림: 업라이징,2018-03-21,47685500,8821144395,6320,1058711,427,1025,2018-04-02
6,6,20178522,콜 미 바이 유어 네임,2018-03-22,38085800,1075632600,4860,130051,156,388,2018-04-02
7,7,20181621,막달라 마리아: 부활의 증인,2018-03-28,12736e3,126309300,1948,17898,99,203,2018-04-02
8,8,20181561,덕구,2018-04-05,13568e3,7077e4,1696,9453,6,6,2018-04-02
9,9,20170841,리틀 포레스트,2018-02-28,11350700,11867301285,1626,1497852,112,166,2018-04-02
10,10,20173962,소공녀,2018-03-22,9363600,346759e3,1259,43605,83,149,2018-04-02
1,1,20180804,곤지암,2018-03-28,673013300,12264713074,87577,1564493,977,4820,2018-04-03
2,2,20171122,레디 플레이어 원,2018-03-28,536259700,9702457979,63033,1124081,982,4134,2018-04-03
3,3,20170669,지금 만나러 갑니다,2018-03-14,190049400,18992455103,25784,2375502,681,2429,2018-04-03
4,4,20154908,7년의 밤,2018-03-28,167159100,3497611724,22447,465055,639,2341,2018-04-03
5,5,20174603,퍼시픽 림: 업라이징,2018-03-21,37072e3,8858216395,5016,1063727,434,951,2018-04-03
6,6,20153447,바람 바람 바람,2018-04-05,35442e3,138891200,4785,17428,38,38,2018-04-03
7,7,20178522,콜 미 바이 유어 네임,2018-03-22,32643900,1108276500,4221,134272,154,352,2018-04-03
8,8,20181561,덕구,2018-04-05,17226e3,87996e3,2206,11659,8,8,2018-04-03
9,9,20181621,막달라 마리아: 부활의 증인,2018-03-28,11167500,137476800,1703,19601,104,200,2018-04-03
10,10,20165045,머니백,2018-04-12,13644e3,19628e3,1516,2508,5,7,2018-04-03
1,1,20180804,곤지암,2018-03-28,701757100,12966470174,92050,1656543,989,5244,2018-04-04
2,2,20171122,레디 플레이어 원,2018-03-28,573146400,10275604379,68144,1192225,962,4096,2018-04-04
3,3,20170669,지금 만나러 갑니다,2018-03-14,208591900,19201047003,28134,2403636,665,2384,2018-04-04
4,4,20154908,7년의 밤,2018-03-28,139568600,3637180324,18854,483909,582,2061,2018-04-04
5,5,20178424,레이디 버드,2018-04-04,59284e3,110958e3,8017,14237,336,826,2018-04-04
6,6,20174603,퍼시픽 림: 업라이징,2018-03-21,33576700,8891793095,4543,1068270,353,763,2018-04-04
7,7,20178522,콜 미 바이 유어 네임,2018-03-22,32709500,1140986e3,4221,138493,146,360,2018-04-04
8,8,20181788,콰이어트 플레이스,2018-04-12,26208e3,26208e3,3207,3207,15,15,2018-04-04
9,9,20181621,막달라 마리아: 부활의 증인,2018-03-28,10126900,147603700,1483,21084,93,171,2018-04-04
10,10,20170841,리틀 포레스트,2018-02-28,8643100,11885899985,1251,1500526,94,135,2018-04-04
1,1,20153447,바람 바람 바람,2018-04-05,712977e3,851886200,95534,112964,792,3680,2018-04-05
2,2,20180804,곤지암,2018-03-28,600953900,13567424074,78273,1734816,896,4761,2018-04-05
3,3,20171122,레디 플레이어 원,2018-03-28,510856900,10786461279,60436,1252661,819,3241,2018-04-05
4,4,20170669,지금 만나러 갑니다,2018-03-14,146223900,19347270903,19801,2423437,507,1632,2018-04-05
5,5,20181561,덕구,2018-04-05,124011100,212631100,17766,29529,463,1764,2018-04-05
6,6,20154908,7년의 밤,2018-03-28,57670700,3694851024,7840,491749,444,902,2018-04-05
7,7,20178424,레이디 버드,2018-04-04,51388300,162346300,6986,21223,333,759,2018-04-05
8,8,20178522,콜 미 바이 유어 네임,2018-03-22,26682300,1167668300,3369,141862,134,284,2018-04-05
9,9,20165045,머니백,2018-04-12,2092e4,40548e3,2571,5079,14,14,2018-04-05
10,10,20182922,문호 스트레이독스 [데드 애플],2018-04-05,18153e3,29501e3,2419,3973,75,134,2018-04-05
1,1,20153447,바람 바람 바람,2018-04-05,1036089712,1887975912,135978,248942,955,4106,2018-04-06
2,2,20180804,곤지암,2018-03-28,940251570,14507675644,111324,1846140,922,4878,2018-04-06
3,3,20171122,레디 플레이어 원,2018-03-28,808764270,11595225549,87037,1339698,845,3330,2018-04-06
4,4,20170669,지금 만나러 갑니다,2018-03-14,206732118,19554003021,25202,2448639,528,1652,2018-04-06
5,5,20181561,덕구,2018-04-05,161498800,374129900,20919,50448,462,1706,2018-04-06
6,6,20178424,레이디 버드,2018-04-04,64434700,226781e3,7835,29058,345,786,2018-04-06
7,7,20154908,7년의 밤,2018-03-28,58774900,3753625924,7438,499187,439,826,2018-04-06
8,8,20178522,콜 미 바이 유어 네임,2018-03-22,35071100,1202739400,3970,145832,133,268,2018-04-06
9,9,20182922,문호 스트레이독스 [데드 애플],2018-04-05,13452500,42953500,1651,5624,75,135,2018-04-06
10,10,20182021,번개맨과 신비의 섬,2018-04-05,12715500,35626200,1602,4597,120,146,2018-04-06
1,1,20180804,곤지암,2018-03-28,1889642964,16397318608,226600,2072740,950,5177,2018-04-07
2,2,20171122,레디 플레이어 원,2018-03-28,1935002564,13530228113,209751,1549449,889,3541,2018-04-07
3,3,20153447,바람 바람 바람,2018-04-05,1757492229,3645468141,206378,455320,985,4843,2018-04-07
4,4,20170669,지금 만나러 갑니다,2018-03-14,357654807,19911657828,42484,2491123,530,1482,2018-04-07
5,5,20181561,덕구,2018-04-05,319534500,693664400,40591,91039,509,1486,2018-04-07
6,6,20182021,번개맨과 신비의 섬,2018-04-05,127793200,163419400,16093,20690,182,407,2018-04-07
7,7,20178424,레이디 버드,2018-04-04,93072800,319853800,11090,40148,310,599,2018-04-07
8,8,20181788,콰이어트 플레이스,2018-04-12,69458900,106714900,8031,12619,203,358,2018-04-07
9,9,20154908,7년의 밤,2018-03-28,64068700,3817694624,7794,506981,366,603,2018-04-07
10,10,20178522,콜 미 바이 유어 네임,2018-03-22,45547500,1248286900,5161,150993,127,222,2018-04-07
1,1,20171122,레디 플레이어 원,2018-03-28,1621365900,15151594013,176623,1726072,888,3460,2018-04-08
2,2,20180804,곤지암,2018-03-28,1478411600,17875730208,175724,2248464,947,4950,2018-04-08
3,3,20153447,바람 바람 바람,2018-04-05,1382875900,5028344041,161658,616978,968,4658,2018-04-08
4,4,20181561,덕구,2018-04-05,371043900,1064708300,46814,137853,544,1540,2018-04-08
5,5,20170669,지금 만나러 갑니다,2018-03-14,291420500,20203078328,34655,2525778,521,1417,2018-04-08
6,6,20182021,번개맨과 신비의 섬,2018-04-05,125961800,289381200,15726,36416,191,418,2018-04-08
7,7,20178424,레이디 버드,2018-04-04,79319700,399173500,9604,49752,309,578,2018-04-08
8,8,20181788,콰이어트 플레이스,2018-04-12,79251700,185966600,9169,21788,206,356,2018-04-08
9,9,20154908,7년의 밤,2018-03-28,52622300,3870316924,6380,513361,338,537,2018-04-08
10,10,20181366,미니특공대X,2018-03-22,40496e3,714170400,5397,95568,163,246,2018-04-08
1,1,20153447,바람 바람 바람,2018-04-05,429402800,5457746841,56888,673866,881,4321,2018-04-09
2,2,20180804,곤지암,2018-03-28,362343100,18238073308,47017,2295481,843,4292,2018-04-09
3,3,20171122,레디 플레이어 원,2018-03-28,365487600,15517081613,43926,1769998,786,3196,2018-04-09
4,4,20181561,덕구,2018-04-05,119270700,1183979e3,16405,154258,467,1564,2018-04-09
5,5,20170669,지금 만나러 갑니다,2018-03-14,88909200,20291987528,11969,2537747,484,1459,2018-04-09
6,6,20178424,레이디 버드,2018-04-04,38586500,43776e4,5188,54940,288,645,2018-04-09
7,7,20176917,램페이지,2018-04-12,41887e3,41887e3,3430,3430,12,12,2018-04-09
8,8,20154908,7년의 밤,2018-03-28,21242500,3891559424,2967,516328,330,578,2018-04-09
9,9,20178522,콜 미 바이 유어 네임,2018-03-22,19003500,1304965100,2420,157695,128,258,2018-04-09
10,10,20182323,임을 위한 행진곡,2018-05-16,8832e3,8832e3,1104,1104,3,3,2018-04-09
1,1,20153447,바람 바람 바람,2018-04-05,415628900,5873375741,54859,728725,884,4334,2018-04-10
2,2,20180804,곤지암,2018-03-28,312640700,18550714008,40526,2336007,845,4202,2018-04-10
3,3,20171122,레디 플레이어 원,2018-03-28,324751100,15841832713,38108,1808106,777,3128,2018-04-10
4,4,20181561,덕구,2018-04-05,115330600,1299309600,15888,170146,486,1602,2018-04-10
5,5,20170669,지금 만나러 갑니다,2018-03-14,82983100,20374970628,11241,2548988,495,1430,2018-04-10
6,6,20178424,레이디 버드,2018-04-04,37808600,475568600,5168,60108,298,637,2018-04-10
7,7,20154908,7년의 밤,2018-03-28,20355800,3911915224,2787,519115,329,550,2018-04-10
8,8,20178522,콜 미 바이 유어 네임,2018-03-22,18889600,1323854700,2421,160116,131,255,2018-04-10
9,9,20128386,라이프 오브 파이,2013-01-01,10513500,15894650500,1514,1595960,16,17,2018-04-10
10,10,20182021,번개맨과 신비의 섬,2018-04-05,5796500,300314700,795,37905,106,132,2018-04-10
1,1,20153447,바람 바람 바람,2018-04-05,456117500,6329493241,58994,787719,876,4256,2018-04-11
2,2,20171122,레디 플레이어 원,2018-03-28,373564700,16215397413,43136,1851242,786,3136,2018-04-11
3,3,20180804,곤지암,2018-03-28,322855400,18873569408,40888,2376895,844,4046,2018-04-11
4,4,20181561,덕구,2018-04-05,142929400,1442239e3,19560,189706,505,1601,2018-04-11
5,5,20170669,지금 만나러 갑니다,2018-03-14,89537800,20464508428,11675,2560663,481,1410,2018-04-11
6,6,20182352,"그날, 바다",2018-04-12,59444e3,64322e3,7319,7865,161,263,2018-04-11
7,7,20178424,레이디 버드,2018-04-04,42531300,518099900,5473,65581,292,618,2018-04-11
8,8,20178522,콜 미 바이 유어 네임,2018-03-22,21847500,1345702200,2619,162735,128,258,2018-04-11
9,9,20154908,7년의 밤,2018-03-28,18855300,3930770524,2456,521571,309,501,2018-04-11
10,10,20128386,라이프 오브 파이,2013-01-01,15361800,15910012300,1553,1597513,18,20,2018-04-11
1,1,20176917,램페이지,2018-04-12,604887250,649285250,74779,78506,784,3751,2018-04-12
2,2,20153447,바람 바람 바람,2018-04-05,280290900,6609784141,36074,823793,584,2593,2018-04-12
3,3,20181788,콰이어트 플레이스,2018-04-12,288307e3,478827600,35950,58244,542,2425,2018-04-12
4,4,20182352,"그날, 바다",2018-04-12,192056800,256378800,24593,32458,483,1094,2018-04-12
5,5,20180804,곤지암,2018-03-28,196047600,19069617008,24288,2401183,543,1994,2018-04-12
6,6,20171122,레디 플레이어 원,2018-03-28,197715e3,16413112413,23446,1874688,531,1753,2018-04-12
7,7,20165045,머니백,2018-04-12,56316100,96864100,7666,12745,472,1287,2018-04-12
8,8,20181561,덕구,2018-04-05,45368100,1487607100,6415,196121,292,533,2018-04-12
9,9,20170669,지금 만나러 갑니다,2018-03-14,30689900,20495198328,4104,2564767,222,384,2018-04-12
10,10,20128386,라이프 오브 파이,2013-01-01,25449e3,15935461300,2526,1600039,82,200,2018-04-12
1,1,20176917,램페이지,2018-04-12,914701475,1563986725,104370,182876,836,3951,2018-04-13
2,2,20181788,콰이어트 플레이스,2018-04-12,426585487,905413087,48722,106966,589,2570,2018-04-13
3,3,20153447,바람 바람 바람,2018-04-05,364532712,6974316853,42063,865856,608,2650,2018-04-13
4,4,20171122,레디 플레이어 원,2018-03-28,336169788,16749282201,37051,1911739,559,1842,2018-04-13
5,5,20180804,곤지암,2018-03-28,322938213,19392555221,37043,2438226,552,2096,2018-04-13
6,6,20182352,"그날, 바다",2018-04-12,269762500,526141300,31321,63779,550,1319,2018-04-13
7,7,20181561,덕구,2018-04-05,75848200,1563455300,9991,206112,339,605,2018-04-13
8,8,20165045,머니백,2018-04-12,65283500,162147600,8e3,20745,463,1176,2018-04-13
9,9,20170669,지금 만나러 갑니다,2018-03-14,44920500,20540118828,5468,2570235,219,368,2018-04-13
10,10,20128386,라이프 오브 파이,2013-01-01,33463900,15968925200,3010,1603049,84,205,2018-04-13
1,1,20176917,램페이지,2018-04-12,2410013347,3974000072,274338,457214,895,4520,2018-04-14
2,2,20181788,콰이어트 플레이스,2018-04-12,791414977,1696828064,88483,195449,677,2863,2018-04-14
3,3,20171122,레디 플레이어 원,2018-03-28,808264470,17557546671,87745,1999484,585,1950,2018-04-14
4,4,20153447,바람 바람 바람,2018-04-05,763666830,7737983683,86145,952001,623,2621,2018-04-14
5,5,20180804,곤지암,2018-03-28,664276623,20056831844,76299,2514525,608,2101,2018-04-14
6,6,20182352,"그날, 바다",2018-04-12,510760600,1036901900,59120,122899,569,1622,2018-04-14
7,7,20181561,덕구,2018-04-05,171355500,1734810800,21745,227857,330,612,2018-04-14
8,8,20182221,스파키,2018-04-12,90760400,110654300,12124,14768,310,453,2018-04-14
